destination,district,lat,lon,osm_type,display_name,licence
Single tree hill,Nuwara Eliya,6.9580205,80.7626508,viewpoint,"Single Tree Hill, Single Tree Road, Haddon Hill, Nuwara Eliya, Nuwara Eliya District, Central Province, 10000, Sri Lanka","OpenStreetMap contributors, ODbL"
Ravana Waterfall,Badulla,6.8718498,81.0455451,hotel,"ravana range, Waterfall Road, Pattiyakumbura, Ella, Badulla District, Uva Province, 90090, Sri Lanka","OpenStreetMap contributors, ODbL"
Hikkaduwa Beach,Galle,6.1346944,80.0997142,beach,"Hikkaduwa Beach, Hikkaduwa, Galle District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
New Ranweli Spice Garden,Kandy,7.2818123,80.5929019,attraction,"New Ranweli Spice Garden 99, 31, Gannoruwa - Muruthalawa Road, Kiribathkumbura, Muruthalawa, Kandy District, Central Province, 20232, Sri Lanka","OpenStreetMap contributors, ODbL"
Dehiwala Zoological Gardens,Colombo,6.8571738,79.8742032,zoo,"National Zoological Gardens, Anagarika Dharmapala Mawatha (Allen Avenue), Pamankada, Pallidora, Dehiwala, Colombo District, Western Province, 10350, Sri Lanka","OpenStreetMap contributors, ODbL"
Bellagio Colombo,Colombo,6.9049522,79.8536861,pub,"Bellagio Cassino, R. A. de Mel Mawatha, Bambalapitiya, Slave Island, Colombo, Colombo District, Western Province, 00300, Sri Lanka","OpenStreetMap contributors, ODbL"
Crow Island Beach Park,Colombo,6.9712985,79.8689057,park,"Crow Island Beach Park, Mattakkuliya, Colombo, Colombo District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Pettah Floating Market,Colombo,6.9327568,79.854912,pier,"Pettah Floating Market, Bastian Mawatha, L B Gate, Fort, Slave Island, Colombo, Colombo District, Western Province, 01100, Sri Lanka","OpenStreetMap contributors, ODbL"
Negombo Beach,Gampaha,7.2424579,79.8408979,beach,"Negombo Beach Park, Ettukala, Gampaha District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Independence Square,Colombo,6.9041807,79.8677752,neighbourhood,"Independence Square, Town Hall, Cinnamon Gardens, Colombo, Colombo District, Western Province, 00700, Sri Lanka","OpenStreetMap contributors, ODbL"
Viharamahadevi Park,Colombo,6.9148992,79.8613636,aquarium,"Viharamahadevi Park Aquarium, Srimath Anagarika Dharmapala Mawatha, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, 00010, Sri Lanka","OpenStreetMap contributors, ODbL"
Pigeon Island National Park,Trincomalee,8.7183798,81.2048328,national_park,"Pigeon Island National Park, Trincomalee, Trincomalee District, Eastern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Maritime Museum,Galle,6.0281548,80.2184438,museum,"Dutch Warehouse (National Maritime Museum), Leyn Baan Street, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka","OpenStreetMap contributors, ODbL"
Attidiya Bird Sanctuary,Colombo,6.8438328,79.8858841,nature_reserve,"Attidiya Bird Sanctuary, Raththanapitiya, Bellanvila, Colombo District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Diyatha Uyana,Colombo,6.9025526,79.9086796,tertiary,"Sri Lanka Nippon Av, Diyatha Uyana Jct., Ethulkotte, Ethul Kotte, Sri Jayewardenepura Kotte, Colombo District, Western Province, 10100, Sri Lanka","OpenStreetMap contributors, ODbL"
Beddagana Wetland Park,Colombo,6.8904487,79.9090936,park,"Beddagana Wetland park, Pitakotte, Sri Jayewardenepura Kotte, Colombo District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Bomburu Ella Waterfall,Badulla,6.9470599,80.8307743,attraction,"Bomburu Ella Waterfall, Footway to Bomburu-Ella Waterfall, Perawella, Nuwara Eliya District, Central Province, 90364, Sri Lanka","OpenStreetMap contributors, ODbL"
Galle Face Green,Colombo,6.9249607,79.8444586,park,"Galle Face Green, Kompannaweediya, Slave Island, Colombo, Colombo District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Gangaramaya (Vihara) Buddhist Temple,Colombo,6.7925591,79.9032207,place_of_worship,"Gangarama Temple, Sri sobitha vidyala mawatha, Molpe, Willorawaththa, Colombo District, Western Province, 10400, Sri Lanka","OpenStreetMap contributors, ODbL"
Sinharaja Forest Reserve,Matara,6.4010545,80.5026392,wood,"Sinharaja Forest Reserve, Palinda-Nuwara (Baduraliya) DS Division, Ratnapura District, Sabaragamuwa Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Lighthouse - Galle,Galle,6.0245483,80.2193733,lighthouse,"Galle Fort Lighthouse, Rampart Street, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka","OpenStreetMap contributors, ODbL"
Parrot Rock,Matara,5.9416168,80.462254,islet,"Parrot Rock, Mirissa, Matara District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Rukmani Devi Park,Gampaha,7.2091713,79.8459595,park,"Rukmani Devi Park, Taladuwa, Negombo, Gampaha District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Gangarama Sima Malaka,Colombo,6.9168056,79.8546093,islet,"Gangarama Sima Malaka, Weekanda, Slave Island, Colombo, Colombo District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Arugam Bay,Ampara,6.8468506,81.8306961,village,"Arugam Bay, Ampara District, Eastern Province, 32506, Sri Lanka","OpenStreetMap contributors, ODbL"
The Shrine of Our Lady of Matara,Matara,5.9432517,80.5519134,place_of_worship,"The Shrine of Our Lady of Matara, St.Servatius Road, Uyanwaththa, Weliweriya (SP), Matara, Matara District, Southern Province, 81000, Sri Lanka","OpenStreetMap contributors, ODbL"
Jungle Beach,Galle,6.0119744,80.2391711,hotel,"Jungle Beach, Jungle Beach road, Unawatuna, Rumassala, Galle District, Southern Province, 80600, Sri Lanka","OpenStreetMap contributors, ODbL"
Thalangama Lake,Colombo,6.8865205,79.9504759,residential,"Thalangama Lake Road, John Keels Housing Scheme, Sri Jayewardenepura Kotte, Colombo District, Western Province, 10118, Sri Lanka","OpenStreetMap contributors, ODbL"
Dambatenne Tea Factory,Badulla,6.7833635,81.0033228,works,"Dambatenne Tea Factory, Factory Road, Dambetenne, Badulla District, Uva Province, 19160, Sri Lanka","OpenStreetMap contributors, ODbL"
Yatagala Raja Maha Viharaya,Galle,6.0250013,80.2610505,place_of_worship,"Yatagala Raja Maha Viharaya, Maine road, Katugoda, Heenatigala Junction, Galle District, Southern Province, 80600, Sri Lanka","OpenStreetMap contributors, ODbL"
Gartmore Falls,Nuwara Eliya,6.7786554,80.5592226,waterfall,"Upper Gartmore Falls, Nuwara Eliya District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Nilaveli Beach,Trincomalee,8.6980818,81.1929762,beach,"Nilaveli Beach, Irakkandi, Trincomalee District, Eastern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Sathutu Uyana,Colombo,6.9603056,79.8649125,attraction,"Sathutu Uyana, Aluthmawatha Road, AluthMawatha, St. Bastian, Colombo, Colombo District, Western Province, 00150, Sri Lanka","OpenStreetMap contributors, ODbL"
Star Fort Matara,Matara,5.9482862,80.5486581,attraction,"Star Fort Matara, Dharmarathna Mawatha, Uyanwaththa, Weliweriya (SP), Matara, Matara District, Southern Province, 81000, Sri Lanka","OpenStreetMap contributors, ODbL"
Kirinda Beach,Hambantota,6.2102227,81.3313048,hotel,"Kirinda Beach Resort, Kirinde Road, Kirinde, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Udawalawe National Park,Ratnapura,6.5121582,80.887626,nature_reserve,"Udawalawe National Park, Monaragala District, Uva Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Marble Beach,Trincomalee,8.5122958,81.21047,beach,"Marble Beach, Trincomalee, Trincomalee District, Eastern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Ambewela Farms,Nuwara Eliya,6.9037507,80.7957375,farm,"Ambewela Farm, Nuwara Eliya, Nuwara Eliya District, Central Province, 90364, Sri Lanka","OpenStreetMap contributors, ODbL"
Madiha Beach,Matara,5.9359799,80.5176081,beach,"Madiha Beach, Thotamuna, Walgama, Matara District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Narangala Mountain,Badulla,7.0367166,81.0087047,cliff,"Narangala Mountain, Sarnia, Narangala, Badulla District, Uva Province, 90064, Sri Lanka","OpenStreetMap contributors, ODbL"
Horagolla National Park,Gampaha,7.1399754,80.0846932,park,"Horagolla National Park, Nittambuwa, Gampaha District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Matara Fort,Matara,5.9482862,80.5486581,attraction,"Star Fort Matara, Dharmarathna Mawatha, Uyanwaththa, Weliweriya (SP), Matara, Matara District, Southern Province, 81000, Sri Lanka","OpenStreetMap contributors, ODbL"
Lanka Ella - Waterfall,Badulla,6.7713233,80.8292686,path,"Lanka Ella Waterfall Trail, West Haputale, Badulla District, Uva Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Dunhinda Waterfall,Badulla,7.0169435,81.063492,waterfall,"Dunhinda Falls, Badulla, Badulla District, Uva Province, 90000, Sri Lanka","OpenStreetMap contributors, ODbL"
Kirindi Ella Waterfall,Ratnapura,6.6422499,80.5646175,attraction,"Kirindi Ella Waterfall Pelmadulla, Kuttapitiya Road, Pelmadulla, Ratnapura District, Sabaragamuwa Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Dutch Museum,Colombo,6.9360639,79.8516492,museum,"Dutch Colonial Museum, Prince Street, L B Gate, Fort, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka","OpenStreetMap contributors, ODbL"
Dutch Reformed Church,Galle,6.0281645,80.2171268,place_of_worship,"Dutch Reformed Church (1755), Church Street, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka","OpenStreetMap contributors, ODbL"
Samadhi Statue,Anuradhapura,8.3696364,80.390824,place_of_worship,"Third Samadhi Buddha Statue, Outer Circular Road (Wata Wandana Road), Anuradhapura, Anuradhapura District, North Central Province, 50000, Sri Lanka","OpenStreetMap contributors, ODbL"
Tissa Wewa,Hambantota,6.2914772,81.2845771,reservoir,"Tissa Wewa, Tissamaharama, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Martin Wickramasinghe Folk Museum Complex,Galle,5.9889841,80.3274941,museum,"Martin Wickramasinghe Folk Museum Complex, Matara Road, Koggala, Galle District, Southern Province, 80630, Sri Lanka","OpenStreetMap contributors, ODbL"
Swarnagiri maha viharaya,Nuwara Eliya,6.9549498,80.7664025,place_of_worship,"Swarnagiri Maha Viharaya, Single Tree Road, Haddon Hill, Nuwara Eliya, Nuwara Eliya District, Central Province, 10000, Sri Lanka","OpenStreetMap contributors, ODbL"
Baker's Falls,Nuwara Eliya,6.7925595,80.789623,waterfall,"Baker's Falls, Nuwara Eliya District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Diva Guhawa,Ratnapura,6.8298699,80.3743529,place_of_worship,"Divaguha Rajamaha Viharaya, Kuruwita-Erathna Road, Batathota, Kuruwita, Ratnapura District, Sabaragamuwa Province, 70550, Sri Lanka","OpenStreetMap contributors, ODbL"
St. Mary's Cathedral,Galle,6.0358722,80.2126512,place_of_worship,"St. Mary's Cathedral, Budasinghe Mawatha, Kaluwella, Galle, Galle District, Southern Province, 80000, Sri Lanka","OpenStreetMap contributors, ODbL"
Siri Gautama Sambuddharaja maligawa,Kurunegala,7.3415208,80.2538069,place_of_worship,"Siri Gautama Sambuddharaja Maligawa, Narammala Road, Morawalapitiya, Kurunǣgala, North Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Dumbara ella waterfalls,Matale,7.4698061,80.7918641,waterfall,"Dumbara Ella, Matale District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Dolukanda rajamaha viharaya,Kurunegala,7.6118311,80.4016786,place_of_worship,"Dolukanda Rajamaha Viharaya, Manapaya - Bannekgama Road, Thiththawelgala, Kurunǣgala, North Western Province, 60578, Sri Lanka","OpenStreetMap contributors, ODbL"
Pothgul Vihara,Ratnapura,6.6793024,80.3724535,residential,"Pothgul Vihara Road, Yahalagama, Karangoda, Ratnapura District, Sabaragamuwa Province, 70000, Sri Lanka","OpenStreetMap contributors, ODbL"
