media_id,kind,title,url,source_name,published,snippet,destination,district,aspects,match_method,collected_at
m_a7aed90bdc7961,youtube,Nallur 🦚 #jaffna #nallur #kovil #srilanka #shorts #trending #trendingshorts,https://www.youtube.com/watch?v=G9Jd9awRzvo,Meraki Creations,2025-09-21,Nallur kovil jaffna srilanka.,Nallur Kovil,Jaffna,,full_name,2026-08-25
m_7987e11f6c13dd,youtube,🔴LIVE : நல்லூர் கந்தசுவாமி கோவில் | Nallur Sri Kandaswamy Live Day 8 Evening,https://www.youtube.com/watch?v=SiJmWu-mjQA,Lankasri News,2026-08-25,யாழ்ப்பாணம் நல்லூர் கந்தசுவாமி ஆலயத்தின் வருடாந்த ...,Nallur Kovil,Jaffna,,distinctive_token:nallur,2026-08-25
m_0f215748e74e56,youtube,රම්බොඩ ලස්සන වැස්සටද? මේ Ramboda Falls| Lower Ramboda Falls| Devathura Ella| Puna Ella| Nuwara Eliya,https://www.youtube.com/watch?v=MXmrwUNRNfg,TRAVEL LENS,2025-10-03,"Ramboda Falls Ramboda Falls, located in the Ramboda Pass of Pussellawa in the Nuwara Eliya District, is one of Sri Lanka's ...",Ramboda Waterfall,Kandy,,distinctive_token:ramboda,2026-08-25
m_f811f31ab27d97,youtube,Ramboda falls in Sri Lanka 🇱🇰 #srilanka #srilankatourism #nature #waterfall,https://www.youtube.com/watch?v=LW_EHICiPwc,chamod jayasundara,2025-02-14,,Ramboda Waterfall,Kandy,scenery,distinctive_token:ramboda,2026-08-25
m_20a19d97a97002,youtube,Ramboda waterfall #srilanka #srilankatourism #srilankatravel #tourguide #visitsrilanka,https://www.youtube.com/watch?v=IoUrfeDVkAc,Sura Tours ,2023-10-15,,Ramboda Waterfall,Kandy,scenery,full_name,2026-08-25
m_99354d6ede34e5,youtube,"Ramboda Falls | Friendly Local Helps Me Cross The Waterfall, Sri Lanka 🇱🇰",https://www.youtube.com/watch?v=lbJ2EPwb1VM,Save Up and Fly,2022-04-29,"We had the best time going up the 11th tallest waterfall in Sri Lanka, Ramboda Falls. We saw incredible rock formations, monkeys, ...",Ramboda Waterfall,Kandy,safety|scenery,distinctive_token:ramboda,2026-08-25
m_310a8d13155523,youtube,Uncovering the mystery of the Rangala Natural Pool,https://www.youtube.com/watch?v=DTnD2bH_d9o,Dive Sri Lanka,2021-03-26,What is underneath this beautiful yet deadly pool that has taken so many lives? How deep was it? No one really knew. Here are ...,Rangala natural pool,Matale,safety|scenery,full_name,2026-08-25
m_80bf04e99a5ab0,youtube,Rangala Natural pool | Kandy | Sri Lanka | Travel to travel Sri lanka VLOG #5,https://www.youtube.com/watch?v=KJTTWlVNlJE,Travel to Travel Sri Lanka,2020-02-25,"TraveltoTravelSrilanka #Rangala The location of the pool is marked by a small bridge across the Kotaganga, starting at Knuckles ...",Rangala natural pool,Matale,scenery,full_name,2026-08-25
m_c7115f7cf0eb34,youtube,Rangala natural pool - Sri Lanka 🇱🇰 #srilanka #srilankatravel #visitsrilanka #waterfall #nature,https://www.youtube.com/watch?v=P4AtnlDUrbQ,Pathum Manujaya,2024-01-12,,Rangala natural pool,Matale,scenery,full_name,2026-08-25
m_f3667dcd975eb4,youtube,Rangala Natural Pool - Srilanka | Kandy | Travel Srilanka | Whygosl,https://www.youtube.com/watch?v=ujZu4WQt-To,WhyGo SL,2021-04-25,Hi fam . ! One of a best natural pool in Knuckles surrounding. Its about 30 km away from Kandy. Road is good and any vehical can ...,Rangala natural pool,Matale,roads_access|scenery,full_name,2026-08-25
m_1df77e03ee058f,youtube,Rangala Natural Pool Sri Lanka - Tourist Attraction,https://www.youtube.com/watch?v=bziR5yx223A,Teckworld99,2025-02-17,,Rangala natural pool,Matale,scenery,full_name,2026-08-25
m_368aeda91118c6,youtube,The road to jungle beach📍🌱🍃 #shorts #travel #srilanka #galle #junglebeach,https://www.youtube.com/watch?v=kOQx0LWHjWU,Chameelia 🤍🌸,2025-04-29,,Jungle Beach,Galle,roads_access,full_name,2026-08-25
m_31dd93b9b6923e,youtube,Jungle Beach (Unawatuna) hidden gem Sri lanka.,https://www.youtube.com/watch?v=7STTsEsBVd0,Shenaz Treasury,2020-06-22,"Tell me about a secret spot you discovered while traveling. Can be a place or an insight. For more such videos, subscribe to our ...","Jungle Beach, Unawatuna",Galle,,full_name,2026-08-25
m_6c2a6386807a97,youtube,Short cut හැම වෙලේම හරියන්නෑ | Jungle Beach Unawatuna | Galle Series II,https://www.youtube.com/watch?v=lgkMBc3o3us,Hiru & Mahesh Vibes,2025-08-21,"Galle Series ll – Jungle Beach In this episode of our Galle journey, we take you to the hidden paradise of Jungle Beach.","Jungle Beach, Unawatuna",Galle,,full_name,2026-08-25
m_57d35c856a356c,youtube,Unawatuna Jungle Beach Sri Lanka,https://www.youtube.com/watch?v=ygxOFr842l4,The Last Traveller,2018-08-28,Unawatuna Jungle Beach is a hidden gem of Sri Lanka.,Jungle Beach,Galle,,full_name,2026-08-25
m_67ed248bfb53cb,youtube,"Jungle Beach, Rumassala, Unawatuna, Sri Lanka (2020) VIDEO #6",https://www.youtube.com/watch?v=4Es7tNlN5yQ,DENU,2020-01-29,Unawatuna is a coastal town in Galle district of Sri Lanka. Unawatuna is a major tourist attraction in Sri Lanka and known for its ...,Jungle Beach,Galle,,full_name,2026-08-25
m_05ce877abc2a1f,youtube,"Casino Marina, Colombo, Sri Lanka",https://www.youtube.com/watch?v=HbbFu84T_ck,GSfpv,2019-12-24,,Casino Marina Colombo,Colombo,,full_name,2026-08-25
m_e7459c6ae6ca2c,youtube,Casino Marina Colombo Cover Video,https://www.youtube.com/watch?v=8jerZ_MhyY4,Magic Labs,2019-02-25,,Casino Marina Colombo,Colombo,,full_name,2026-08-25
m_5e78fd424dad1a,youtube,Trying my luck at Bellagio Colombo #casino #cash #money #luck #luxury #colombo #srilanka,https://www.youtube.com/watch?v=-nY47NuRrdc,Expedition Express,2025-09-01,,Bellagio Colombo,Colombo,price_value,full_name,2026-08-25
